,KOI,TransitNumber,TransitTimeLinear,TTV,eTTV,TransitTime,KOI_System,Planet_Number
570877,KOI-1576.01,64,721.8223247000001,0.016308700000000002,0.0048196,721.8386334,1576,1
570878,KOI-1576.01,65,732.2380539,0.0049625,0.0038663000000000005,732.2430164,1576,1
570879,KOI-1576.01,66,742.6537832,0.0096261,0.005705699999999999,742.6634093,1576,1
570880,KOI-1576.01,67,753.0695124,-0.0007153,0.0059658,753.0687971,1576,1
570881,KOI-1576.01,68,763.4852416,0.0045977,0.0041688,763.4898393,1576,1
570882,KOI-1576.01,69,773.9009709,-0.0036955999999999994,0.004711600000000001,773.8972752999999,1576,1
570883,KOI-1576.01,70,784.3167001,-0.005107,0.0027885,784.3115931000001,1576,1
570884,KOI-1576.01,71,794.7324292999999,-0.005168600000000001,0.006727600000000001,794.7272606999999,1576,1
570885,KOI-1576.01,72,805.1481586,0.0062418,0.0035615,805.1544004,1576,1
570886,KOI-1576.01,73,815.5638878,-0.0069262,0.0055083,815.5569616,1576,1
570887,KOI-1576.01,74,825.9796171,-0.0040304,0.0036143,825.9755867,1576,1
570888,KOI-1576.01,75,836.3953462999999,0.00022050000000000002,0.004476600000000001,836.3955667999999,1576,1
570889,KOI-1576.01,77,857.2268048000001,0.004294699999999999,0.0058247,857.2310995,1576,1
570890,KOI-1576.01,78,867.642534,-0.0119446,0.0080471,867.6305894,1576,1
570891,KOI-1576.01,79,878.0582632000002,-0.004029,0.0062945,878.0542342000002,1576,1
570892,KOI-1576.01,80,888.4739925000001,-0.0001737,0.007187100000000001,888.4738188000001,1576,1
570893,KOI-1576.01,81,898.8897217,-0.0077392,0.0054785,898.8819825,1576,1
570894,KOI-1576.01,82,909.3054509,0.002565,0.0054806,909.3080159,1576,1
570895,KOI-1576.01,83,919.7211802000002,0.0017973,0.0053349,919.7229775000002,1576,1
570896,KOI-1576.01,84,930.1369094,-0.0198011,0.0064479,930.1171083,1576,1
570897,KOI-1576.01,86,950.9683679,-0.0045338999999999996,0.0071083,950.963834,1576,1
570898,KOI-1576.01,87,961.3840971000001,-0.0017254000000000002,0.006187,961.3823717,1576,1
570899,KOI-1576.01,88,971.7998264,-0.003071,0.0047466,971.7967554,1576,1
570900,KOI-1576.01,89,982.2155556,-0.0137157,0.004345300000000001,982.2018399,1576,1
570901,KOI-1576.01,90,992.6312847999999,0.0048571000000000005,0.0053018,992.6361418999999,1576,1
570902,KOI-1576.01,92,1013.4627433,0.0054018,0.005179,1013.4681451,1576,1
570903,KOI-1576.01,93,1023.8784724999999,-0.006005699999999999,0.0067735,1023.8724668,1576,1
570904,KOI-1576.01,95,1044.709931,-0.003151,0.0057526,1044.7067800000002,1576,1
570905,KOI-1576.01,97,1065.5413895,0.0012223,0.0043655000000000005,1065.5426118,1576,1
570906,KOI-1576.01,98,1075.9571187000001,0.0046036,0.005053899999999999,1075.9617223000002,1576,1
570907,KOI-1576.01,99,1086.372848,0.0029682,0.0048316,1086.3758162,1576,1
570908,KOI-1576.01,101,1107.2043064000002,7.49e-05,0.0035219,1107.2043813000003,1576,1
570909,KOI-1576.01,102,1117.6200357,0.0025079,0.0050122,1117.6225436,1576,1
570910,KOI-1576.01,103,1128.0357649,0.008321700000000001,0.0035194000000000002,1128.0440866,1576,1
570911,KOI-1576.01,104,1138.4514941,0.0040859,0.0054007,1138.45558,1576,1
570912,KOI-1576.01,105,1148.8672234,0.0068319,0.0062323,1148.8740553,1576,1
